day_in_month,predicted_low,predicted_high,actual_low,actual_high
1,26,60,27,65
2,46,63,41,66
3,38,66,41,66
4,43,62,40,66
5,24,65,25,66
6,24,68,27,66
7,46,65,41,66
8,32,68,35,68
9,43,65,41,68
10,34,60,30,65
11,27,68,30,64
12,34,65,37,66
13,50,66,45,68
14,41,65,40,65
15,46,63,43,65
16,31,60,31,64
17,31,64,32,65
18,35,62,39,65
19,47,68,51,68
20,28,66,28,66
21,45,66,47,66
22,38,61,42,64
23,17,62,21,64
24,52,61,52,64
25,45,61,43,65
26,37,61,34,65
27,38,68,34,67
28,28,65,28,65
29,46,67,50,66
30,44,62,41,64
