day_in_month,predicted_low,predicted_high,actual_low,actual_high
1,27,68,30,64
2,45,66,47,66
3,28,65,28,65
4,31,64,32,65
5,52,61,52,64
6,34,65,37,66
7,17,62,21,64
8,50,66,45,68
9,47,68,51,68
10,46,63,41,66
11,43,62,40,66
12,28,66,28,66
13,24,65,25,66
14,35,62,39,65
15,31,60,31,64
16,24,68,27,66
17,46,63,43,65
18,46,65,41,66
19,45,61,45,64
20,46,67,50,66
21,26,60,27,65
22,43,65,41,68
24,34,65,28,65
25,44,62,41,64
26,38,66,41,66
27,38,61,42,64
28,38,68,34,67
29,41,65,40,65
30,32,68,35,68
31,45,65,41,65
